account_id,account_type,opened_date,payday,monthly_salary
ACC000000,retail,2022-09-15,21,3862.52
ACC000001,retail,2025-10-26,4,5481.93
ACC000002,retail,2023-10-20,1,5606.52
ACC000003,retail,2022-03-02,24,4052.03
ACC000004,retail,2025-09-28,9,2476.58
ACC000005,retail,2025-03-10,8,2474.29
ACC000006,retail,2025-08-17,8,1987.97
ACC000007,retail,2025-07-03,5,3380.23
ACC000008,retail,2024-04-26,24,3062.57
ACC000009,retail,2025-12-13,4,1685.98
ACC000010,retail,2025-10-19,22,2344.31
ACC000011,retail,2025-05-14,24,2652.67
ACC000012,retail,2025-04-03,18,4142.35
ACC000013,retail,2025-03-14,3,1829.25
ACC000014,retail,2025-10-12,19,4005.35
ACC000015,retail,2025-10-06,14,3192.46
ACC000016,retail,2025-07-28,2,1650.1
ACC000017,retail,2025-07-09,1,2235.15
ACC000018,retail,2025-02-23,3,3393.56
ACC000019,retail,2021-04-04,7,2555.41
ACC000020,retail,2025-10-05,8,4502.55
ACC000021,retail,2025-12-02,17,4326.49
ACC000022,retail,2025-11-13,20,3403.32
ACC000023,retail,2025-12-06,1,4403.78
ACC000024,retail,2025-07-28,18,4125.78
ACC000025,retail,2025-04-21,7,5128.13
ACC000026,retail,2024-08-20,23,3444.58
ACC000027,retail,2025-04-04,21,5514.93
ACC000028,retail,2025-05-23,23,3086.58
ACC000029,retail,2025-03-23,18,2644.92
ACC000030,small_business,2025-09-09,14,5383.84
ACC000031,retail,2025-11-30,8,2422.83
ACC000032,retail,2025-10-23,15,4299.1
ACC000033,retail,2025-10-11,19,3399.9
ACC000034,retail,2025-02-25,9,2251.11
ACC000035,retail,2025-05-24,26,2614.78
ACC000036,retail,2023-11-05,28,2987.06
ACC000037,retail,2025-09-23,1,2713.96
ACC000038,retail,2025-07-21,25,2794.72
ACC000039,retail,2024-09-03,26,3503.86
ACC000040,retail,2022-02-04,6,1383.67
ACC000041,retail,2025-12-17,23,2949.51
ACC000042,retail,2025-03-28,14,2760.19
ACC000043,retail,2025-04-08,11,3363.1
ACC000044,new_account,2025-09-13,9,0.0
ACC000045,retail,2024-06-07,5,4090.46
ACC000046,retail,2024-11-27,7,2071.95
ACC000047,retail,2025-03-01,25,2005.77
ACC000048,retail,2025-01-09,11,2376.73
ACC000049,retail,2025-12-26,4,1603.16
ACC000050,retail,2025-10-17,3,3063.84
ACC000051,retail,2025-06-20,13,2179.17
ACC000052,small_business,2023-09-15,4,2620.64
ACC000053,retail,2024-10-27,12,3264.9
ACC000054,retail,2025-09-13,28,5028.4
ACC000055,retail,2023-07-06,12,3307.52
ACC000056,retail,2025-07-14,20,4075.42
ACC000057,retail,2023-07-07,9,3295.12
ACC000058,retail,2025-11-27,26,3424.05
ACC000059,retail,2023-07-01,2,3351.72
ACC000060,retail,2025-10-23,24,2240.06
ACC000061,retail,2024-09-18,15,1850.99
ACC000062,retail,2025-09-15,18,3876.24
ACC000063,retail,2024-07-02,4,4382.39
ACC000064,retail,2025-01-30,13,3516.12
ACC000065,retail,2025-07-02,3,2088.49
ACC000066,new_account,2025-06-16,18,0.0
ACC000067,retail,2024-11-29,10,2150.97
ACC000068,retail,2025-03-28,27,2681.52
ACC000069,retail,2024-08-07,21,8849.07
ACC000070,retail,2025-12-23,20,1942.33
ACC000071,small_business,2022-08-19,28,3615.51
ACC000072,small_business,2025-07-01,12,3602.18
ACC000073,small_business,2023-11-27,19,2895.37
ACC000074,retail,2025-06-21,7,2493.38
ACC000075,retail,2025-02-10,23,4198.82
ACC000076,small_business,2024-09-12,3,2093.22
ACC000077,retail,2020-12-14,2,3170.01
ACC000078,retail,2025-03-15,22,3439.62
ACC000079,retail,2024-09-04,8,3730.56
ACC000080,retail,2025-08-15,25,3662.91
ACC000081,retail,2023-04-30,10,3661.08
ACC000082,retail,2025-03-29,3,3745.67
ACC000083,retail,2024-04-06,28,4694.87
ACC000084,retail,2025-07-21,8,2188.28
ACC000085,retail,2025-12-18,28,2711.54
ACC000086,retail,2025-02-23,4,3922.58
ACC000087,retail,2025-12-17,13,1563.86
ACC000088,retail,2025-07-07,9,3058.6
ACC000089,retail,2025-09-26,15,1937.01
ACC000090,retail,2025-11-27,21,3035.8
ACC000091,retail,2024-11-22,27,2297.0
ACC000092,retail,2021-12-04,12,1326.03
ACC000093,retail,2025-08-28,6,3211.78
ACC000094,retail,2025-11-30,12,3648.22
ACC000095,retail,2025-10-17,12,4214.57
ACC000096,retail,2025-09-08,7,6040.14
ACC000097,retail,2025-08-23,22,3505.16
ACC000098,small_business,2024-07-15,9,6966.46
ACC000099,retail,2025-09-10,23,4505.19
ACC000100,retail,2024-06-13,22,3560.04
ACC000101,retail,2025-11-21,21,4063.72
ACC000102,retail,2025-04-20,3,2694.51
ACC000103,retail,2024-12-15,20,1809.65
ACC000104,retail,2025-12-14,21,5305.55
ACC000105,retail,2023-11-17,6,1678.5
ACC000106,retail,2025-10-22,18,3228.02
ACC000107,retail,2025-01-14,24,2344.7
ACC000108,small_business,2025-01-24,8,5621.8
ACC000109,retail,2025-02-20,6,1816.88
ACC000110,small_business,2025-06-20,15,3335.56
ACC000111,retail,2025-08-01,13,2323.71
ACC000112,retail,2025-12-23,9,2354.9
ACC000113,retail,2024-09-11,21,4187.42
ACC000114,retail,2023-09-15,23,4126.33
ACC000115,retail,2025-10-15,18,3834.72
ACC000116,retail,2024-03-15,8,2956.14
ACC000117,retail,2024-05-12,22,3124.19
ACC000118,retail,2023-01-29,11,2732.38
ACC000119,retail,2024-06-19,27,4626.29
ACC000120,retail,2023-06-15,25,5025.05
ACC000121,retail,2023-07-13,25,3006.11
ACC000122,retail,2025-12-28,2,3393.67
ACC000123,small_business,2025-01-26,8,2829.75
ACC000124,retail,2025-05-08,27,1993.39
ACC000125,retail,2024-06-22,2,1834.13
ACC000126,retail,2024-04-18,26,2966.39
ACC000127,retail,2025-02-17,11,2082.03
ACC000128,retail,2023-08-11,13,2142.66
ACC000129,retail,2024-06-07,9,2621.35
ACC000130,retail,2025-11-20,3,3287.84
ACC000131,retail,2024-02-11,7,2433.83
ACC000132,retail,2025-11-29,19,1670.31
ACC000133,retail,2022-10-13,23,1697.67
ACC000134,new_account,2024-06-21,11,0.0
ACC000135,retail,2025-11-28,7,3375.72
ACC000136,retail,2023-05-30,21,5378.38
ACC000137,retail,2025-04-05,16,2958.96
ACC000138,retail,2025-11-12,13,2655.89
ACC000139,retail,2024-11-08,21,3669.24
ACC000140,small_business,2025-06-28,15,5503.26
ACC000141,retail,2023-10-13,5,3260.5
ACC000142,retail,2025-02-13,9,2996.01
ACC000143,small_business,2025-03-11,5,5326.54
ACC000144,retail,2024-12-02,8,4375.2
ACC000145,retail,2023-06-21,24,7157.54
ACC000146,retail,2025-10-10,18,2157.45
ACC000147,retail,2025-07-11,18,2200.3
ACC000148,new_account,2021-04-24,9,0.0
ACC000149,retail,2025-02-28,24,3165.79
ACC000150,retail,2024-02-29,19,2081.06
ACC000151,small_business,2024-02-10,14,3629.2
ACC000152,small_business,2024-08-02,19,1757.96
