transaction_id,src_account,dst_account,pattern_type,is_fraud
96a0bda4-769,ACC000012,MERCHANT_UTILITIES_4,normal,0
93f051a4-d54,ACC001217,MERCHANT_HEALTHCARE_23,normal,0
c68aa857-b49,EXTERNAL_PAYROLL,ACC002248,normal,0
a3505bb2-989,ACC001578,ACC000884,normal,0
d9174674-dee,ACC003787,MERCHANT_GROCERY_31,normal,0
85bbfff8-e5f,ACC001745,ACC002955,normal,0
54852c67-855,ACC004087,MERCHANT_INSURANCE_22,normal,0
8e633f8e-b83,ACC003959,MERCHANT_UTILITIES_37,normal,0
6313877f-55e,ACC000392,MERCHANT_RESTAURANT_9,normal,0
6d10519d-c5f,ACC001856,MERCHANT_FUEL_15,normal,0
9b7b3f9d-a17,ACC004199,MERCHANT_RENT_14,normal,0
dba160a7-3fa,ACC004566,MERCHANT_UTILITIES_41,normal,0
741c8292-8de,ACC000809,MERCHANT_INSURANCE_41,normal,0
4d9fdae6-ba2,ACC001244,MERCHANT_RETAIL_29,normal,0
15d4606c-694,ACC004003,MERCHANT_RENT_18,normal,0
b79b965b-474,ACC000432,MERCHANT_HEALTHCARE_19,normal,0
381f9644-a32,ACC000954,MERCHANT_GROCERY_12,normal,0
1f063f60-d1a,ACC002121,MERCHANT_UTILITIES_20,normal,0
8341e1da-ce6,ACC002361,MERCHANT_FUEL_30,normal,0
7d0d03ca-de0,ACC001285,MERCHANT_SUBSCRIPTION_13,normal,0
a23881c7-d22,ACC000976,MERCHANT_UTILITIES_27,normal,0
8056e53d-ce0,ACC003634,MERCHANT_RENT_33,normal,0
68bc5c38-ed5,ACC004031,MERCHANT_FUEL_19,normal,0
51ad9af7-984,ACC004505,ACC001397,normal,0
efa7fc3b-a2e,ACC001978,MERCHANT_FUEL_5,normal,0
93038afd-cd5,ACC000376,MERCHANT_RESTAURANT_47,normal,0
ccd749aa-233,ACC002401,ACC001665,normal,0
720051fe-d89,ACC001137,ACC002050,normal,0
e5accb75-f35,ACC004398,MERCHANT_GROCERY_48,normal,0
a4328027-f85,ACC002775,MERCHANT_FUEL_15,normal,0
affff2bc-fd0,ACC001979,MERCHANT_UTILITIES_44,normal,0
e546a66b-d38,ACC001021,MERCHANT_RESTAURANT_47,normal,0
c42ec48a-401,ACC001641,MERCHANT_HEALTHCARE_14,normal,0
f386e3a4-1a4,ACC001819,MERCHANT_FUEL_15,normal,0
c5d02660-5d1,ACC001729,MERCHANT_UTILITIES_4,normal,0
1b23c5b8-f64,ACC001266,MERCHANT_HEALTHCARE_12,normal,0
ae238319-5d5,ACC002993,MERCHANT_INSURANCE_27,normal,0
77f94759-4b0,ACC001656,ACC000785,fan_in_aggregation,1
a9c776a3-5bc,ACC000015,MERCHANT_RESTAURANT_29,normal,0
cfc62516-40f,ACC002519,MERCHANT_SUBSCRIPTION_26,normal,0
e7e36951-ecd,EXTERNAL_PAYROLL,ACC001446,normal,0
317ca178-7c9,EXTERNAL_PAYROLL,ACC001609,normal,0
8d1e168c-14f,ACC004203,MERCHANT_FUEL_6,normal,0
d8efc6f3-f57,ACC002877,MERCHANT_INSURANCE_12,normal,0
14492a2a-629,ACC001478,MERCHANT_HEALTHCARE_39,normal,0
f63f12ae-81a,ACC001412,MERCHANT_GROCERY_30,normal,0
4b7091d5-131,ACC004293,MERCHANT_GROCERY_45,normal,0
5b868c51-f54,ACC001768,MERCHANT_GROCERY_45,normal,0
1e0715bc-674,ACC000836,MERCHANT_UTILITIES_32,normal,0
96132597-b51,ACC000560,MERCHANT_RESTAURANT_44,normal,0
b6850f87-908,ACC000508,MERCHANT_UTILITIES_14,normal,0
87ad7daf-397,ACC001286,MERCHANT_HEALTHCARE_25,normal,0
0a67e149-34e,ACC000275,MERCHANT_GROCERY_21,normal,0
b9b98581-909,ACC002003,MERCHANT_GROCERY_38,normal,0
0ebadcc0-e24,ACC000257,MERCHANT_GROCERY_36,normal,0
4ec0a98c-417,ACC001259,MERCHANT_RENT_6,normal,0
79625393-825,ACC003859,ACC002196,normal,0
dc28461f-89e,ACC004986,MERCHANT_UTILITIES_6,normal,0
ba497d75-4e4,ACC000022,ACC000781,normal,0
5d60459a-96c,ACC002073,MERCHANT_FUEL_20,normal,0
ec80285d-9fa,ACC004464,MERCHANT_RENT_48,normal,0
3af0d2c4-337,ACC003077,MERCHANT_SUBSCRIPTION_38,normal,0
57883483-50b,ACC001909,MERCHANT_SUBSCRIPTION_6,normal,0
32e97abe-01f,ACC003714,MERCHANT_HEALTHCARE_19,normal,0
8265be03-8bc,ACC002988,MERCHANT_RENT_45,normal,0
fc3a6838-a3f,ACC004405,MERCHANT_GROCERY_47,normal,0
b70b0506-52f,ACC004490,MERCHANT_GROCERY_45,normal,0
9c067d20-703,ACC000161,MERCHANT_UTILITIES_21,normal,0
34a98f1d-ce3,ACC002147,MERCHANT_SUBSCRIPTION_19,normal,0
0e4afb62-df8,ACC003195,MERCHANT_RESTAURANT_30,normal,0
e12b50c5-341,ACC004152,MERCHANT_UTILITIES_24,normal,0
870a3198-71c,ACC001966,ACC004315,normal,0
593d166e-549,ACC002724,MERCHANT_UTILITIES_2,normal,0
ee05c4ea-5d3,ACC000988,MERCHANT_GROCERY_7,normal,0
c6a8481b-a8f,ACC003171,MERCHANT_SUBSCRIPTION_7,normal,0
1143b729-567,ACC003878,MERCHANT_INSURANCE_39,normal,0
01ffde93-b53,ACC001606,MERCHANT_SUBSCRIPTION_11,normal,0
a73b5b7b-ead,ACC000933,MERCHANT_RENT_42,normal,0
73cb587c-4e3,ACC001630,MERCHANT_FUEL_19,normal,0
e93785e3-076,EXTERNAL_PAYROLL,ACC004040,normal,0
35a79abe-9f5,ACC000232,MERCHANT_RESTAURANT_44,normal,0
b9b0f79b-e5c,ACC000158,MERCHANT_RESTAURANT_43,normal,0
e3d1de56-8f6,ACC004439,ACC003079,normal,0
d7220cad-89c,ACC000001,MERCHANT_RETAIL_5,normal,0
99cd2e97-756,ACC000866,ACC000790,normal,0
e41e13b1-880,ACC003666,MERCHANT_UTILITIES_36,normal,0
537d956e-f49,ACC000136,MERCHANT_RETAIL_39,normal,0
3f92d8e6-05b,ACC002892,MERCHANT_RESTAURANT_37,normal,0
4669c1c9-f02,ACC003123,MERCHANT_HEALTHCARE_31,normal,0
5fbb93a6-4e7,ACC004635,MERCHANT_HEALTHCARE_40,normal,0
040463f6-5e4,ACC000990,MERCHANT_INSURANCE_37,normal,0
46500d8a-bba,ACC002990,ACC000837,normal,0
507014d2-a13,ACC004252,MERCHANT_RESTAURANT_37,normal,0
203540bd-90f,ACC004046,MERCHANT_UTILITIES_38,normal,0
0498033d-6b3,ACC003336,ACC000964,normal,0
3d3cad18-69a,ACC003653,MERCHANT_GROCERY_23,normal,0
7581c54b-fb2,ACC002483,MERCHANT_RENT_30,normal,0
57d5634b-861,ACC003034,MERCHANT_FUEL_29,normal,0
923e77cf-807,ACC003203,MERCHANT_INSURANCE_40,normal,0
7de660ff-cbc,ACC000573,ACC000376,normal,0
fb97599e-ba8,ACC002685,MERCHANT_INSURANCE_25,normal,0
b0460fc3-3a1,ACC004734,MERCHANT_FUEL_15,normal,0
