transaction_id,src_account,dst_account,amount,timestamp,category
96a0bda4-769,ACC000012,MERCHANT_UTILITIES_4,29.22,2026-02-12 01:05:00,utilities
93f051a4-d54,ACC001217,MERCHANT_HEALTHCARE_23,8.21,2026-02-28 01:36:00,healthcare
c68aa857-b49,EXTERNAL_PAYROLL,ACC002248,2610.84,2026-02-11 03:10:00,salary
a3505bb2-989,ACC001578,ACC000884,39.48,2026-03-20 09:00:00,transfer_p2p
d9174674-dee,ACC003787,MERCHANT_GROCERY_31,11.96,2026-03-13 01:19:00,grocery
85bbfff8-e5f,ACC001745,ACC002955,17.49,2026-03-02 15:50:00,transfer_p2p
54852c67-855,ACC004087,MERCHANT_INSURANCE_22,148.32,2026-02-12 20:39:00,insurance
8e633f8e-b83,ACC003959,MERCHANT_UTILITIES_37,27.43,2026-03-13 08:44:00,utilities
6313877f-55e,ACC000392,MERCHANT_RESTAURANT_9,54.89,2026-03-06 22:58:00,restaurant
6d10519d-c5f,ACC001856,MERCHANT_FUEL_15,62.77,2026-03-09 04:34:00,fuel
9b7b3f9d-a17,ACC004199,MERCHANT_RENT_14,242.55,2026-03-17 11:51:00,rent
dba160a7-3fa,ACC004566,MERCHANT_UTILITIES_41,105.95,2026-03-28 01:45:00,utilities
741c8292-8de,ACC000809,MERCHANT_INSURANCE_41,41.5,2026-03-20 05:33:00,insurance
4d9fdae6-ba2,ACC001244,MERCHANT_RETAIL_29,37.53,2026-01-11 10:38:00,retail
15d4606c-694,ACC004003,MERCHANT_RENT_18,98.01,2026-02-14 16:29:00,rent
b79b965b-474,ACC000432,MERCHANT_HEALTHCARE_19,83.42,2026-02-10 04:04:00,healthcare
381f9644-a32,ACC000954,MERCHANT_GROCERY_12,3.83,2026-03-02 21:30:00,grocery
1f063f60-d1a,ACC002121,MERCHANT_UTILITIES_20,26.7,2026-01-21 02:57:00,utilities
8341e1da-ce6,ACC002361,MERCHANT_FUEL_30,130.19,2026-02-15 03:40:00,fuel
7d0d03ca-de0,ACC001285,MERCHANT_SUBSCRIPTION_13,199.91,2026-01-02 09:38:00,subscription
a23881c7-d22,ACC000976,MERCHANT_UTILITIES_27,18.47,2026-03-26 19:53:00,utilities
