account_id,risk_score,triggered_patterns,evidence
ACC004639,100,fan_in_aggregation;fan_out_smurfing;layering_chain;rapid_passthrough,"fan_out_smurfing: received funds as one of 40 rapid recipients from a single source within 8min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 8142 (122.4x its own typical transaction size), forwarded 7863 within 2h"
ACC004129,100,fan_in_aggregation;fan_out_smurfing;layering_chain;rapid_passthrough,"fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 182min | fan_in_aggregation: received from 11 accounts within 400min (22.0x its own baseline rate); followed by rapid outbound cash-out | rapid_passthrough: received 8613 (120.8x its own typical transaction size), forwarded 8131 within 2h"
ACC000824,100,fan_out_smurfing;layering_chain;rapid_passthrough,"fan_out_smurfing: received funds as one of 41 rapid recipients from a single source within 63min | rapid_passthrough: received 13732 (225.5x its own typical transaction size), forwarded 13047 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC000382,100,fan_in_aggregation;fan_out_smurfing;layering_chain;rapid_passthrough,fan_out_smurfing: received funds as one of 41 rapid recipients from a single source within 63min | fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 197min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min
ACC004256,96,fan_out_smurfing;layering_chain;rapid_passthrough,"fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 96min | rapid_passthrough: received 11761 (386.6x its own typical transaction size), forwarded 11015 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004931,96,fan_out_smurfing;layering_chain;rapid_passthrough,"fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 105min | rapid_passthrough: received 9504 (237.7x its own typical transaction size), forwarded 8660 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002079,95,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 40 rapid recipients from a single source within 8min | fan_in_aggregation: received from 10 accounts within 400min (20.0x its own baseline rate); followed by rapid outbound cash-out
ACC002122,95,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 40 rapid recipients from a single source within 8min | fan_in_aggregation: received from 10 accounts within 400min (20.0x its own baseline rate); followed by rapid outbound cash-out
ACC000052,94,fan_out_smurfing;layering_chain;rapid_passthrough,"fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 158min | rapid_passthrough: received 10149 (243.4x its own typical transaction size), forwarded 10149 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004448,94,fan_out_smurfing;layering_chain;rapid_passthrough,"fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 160min | rapid_passthrough: received 7900 (323.0x its own typical transaction size), forwarded 7900 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002817,90,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | rapid_passthrough: received 8754 (221.1x its own typical transaction size), forwarded 8438 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004710,90,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | rapid_passthrough: received 8733 (304.7x its own typical transaction size), forwarded 8054 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004761,90,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 8188 (209.1x its own typical transaction size), forwarded 8188 within 2h"
ACC003493,90,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 6 accounts feeding a common recipient within 400min | rapid_passthrough: received 6286 (143.9x its own typical transaction size), forwarded 6286 within 2h"
